Text_Final;Organisation;Environnement;Communication;Technique
Je suis restée coincée 40 minutes dans l'ascenseur avant que les SIAP viennent ouvrir la porte avec pied de biche (7 janvier à 20:15).<LF>Aucune humanité ni respect de la dignité des brancardiers des salles opératoires.<LF>Bâtiment délabré et sale !!;0;0;1;0
bien suivi et personnel agréable et bien informer concernant le diagnostic de ma maladie.;0;0;1;0
Je trouve honteux qu il ne y ait qu  un seul WC au rez de chaussée  qu il soit sale et qu il ne y ait pas d3 papier toilettes.  Pas de produit pour laver les mains ni de papier pour les essuyer. <LF>Voilà;0;1;0;0
Les repas étaient souvent froids, vraiment froid, ce qui fait que j'ai rarement pu manger les plats c'est dommage parce qu'on sent une volonté de bien faire.;0;1;0;0
un peu perdue lors de l'attente pour un autre rendez-vous dans un autre service. Finalement je l'ai eu par courrier alors que j'avais donné mon adresse courriel et mon n° de mobile.;1;0;0;0
L'accouchement est extrêmement bien encadré par le personnel de santé :<LF>Les sage femmes et internes encadrant l'accouchement sont très compétents, professionnels et respectent l'intimité du patient. Un grand bravo à toutes l'équipe des urgences maternité au RDC. <LF>J'ai également apprécié que mon obstétricien de garde lors de mon admission aux urgences pour l'accouchement, soit venu me rassurer sur les anomalies du rythme du bébé;0;0;1;1
je suis remonté de la salle de réveil un peu trop ttard pour manger, mais l’infirmière m'a trouvé 2 yaourts Sinon la nourriture est réellement médiocre;0;1;0;0
Amabilité et gentillesse du personnel;0;0;1;0
rien ou presque...;0;0;0;1
Séjour très cour pour une césarienne sentiment d être expulsé pour laisser la place au autre . Pas asses de lit;0;0;1;0
non pas de raison;0;0;1;0
Attente trop longue. Medecin qui s'absente à plusieurs reprises. Ne s'exprime pas beaucoup sur ma maladie, se contente de faire juste la consultation. Cadre salle d'attente triste et viellot et toilettes très très sales cest une honte pour un hôpital.;0;1;1;0
l'attente en radiologie toujours aussi long donc j'ai anticipé <LF>Lors de l'attente, j'ai été m'enregistré à l'accueil de la consultation afin d'éviter un retard supplémentaire <LF>Aucune information sur ces retards, nous sommes venus 1fois par mois car c'était pour un suivi, nous avions de 1h à 2h d'attente en radiologie mais avec aucune information sur ces retards (urgence???);1;0;0;0
Clarté de l'information, expertise du médecin.;0;0;1;1
Depuis mon opération du mois d'octobre 2015 tout a été parfait. accueil, soins, conseils etc...;0;0;1;1
la difficulté pour se diriger aux bon batiments.<LF>le probleme de fermeture de la caisse ce qui nous a obligé à aller à l'autre caisse et le fait que le systeme informatique etait en panne et seulement 2 caisses ouvertes donc longues attente;1;0;0;0
le manque très très très sérieux de personnel et alors les week end encore plus.<LF>Les heures de visite à  des heures très tardives,donc impossible de se reposer.<LF>des repas servis à  pas d'heure.;1;1;0;0
je recommande le centre d'endocrinologie les medecins, le personnel et les lieux sont supers. Merci pour vos bons soins.;0;0;1;0
on est sur de ce qui va se passer rassurant mise en confiance pour la suite;0;0;1;0
La pré-admission ne sert à rien pour des consultations de suivi de grossesse ce qui est dommage. on a l'impression de refaire 2 fois le dossier.;0;0;0;1
les secrétaires de l'accueil raconte la vie des patients pendant que l'on attend pour se présenter, RDV à 11h30 passée à 12h40 pour 10mn de consultation. Dommage que j'ai du me déplacer alors que les résultats auraient pu être transmis à l’oncologue directement. J'ai perdu ma journée de travail et heures de transport pour 10mn de consultation,  Organisation à revoir en totalité;1;0;0;0
Amabilité  - efficacité  - organisé - zen.;0;0;1;1
L'anesthésie péridurale a été très bien exécutée et très efficace<LF><LF>AUCUNE douleur pendant et après l'intervention;0;0;1;1
L'Amabilité du personnel et du Médecin;0;0;1;0
pas de sel avec le repas;0;1;0;0
qu'on n'a pas réussi à régler le neuro stimulateur pour éviter un retour au bloc opératoire.;0;0;0;1
Tout a été moyen supérieur;0;0;0;1
L'accueil du médecin et du oersonnel;0;0;1;1
repas;0;1;0;0
Personnel hospitalier à l'écoute du patient;0;0;1;0
Qualité du spécialiste;0;0;0;1
Le personnel hospitalier est généralement aimable. Les médecins attentifs. Les rouages administratifs intermédiaires semblent grippés et très peu souples ( trop suchargés ? mal organisés? pas assez informés?) La courtousie y est parfois limite....;1;0;1;0
Un séjour mensuel dans cet établissement depuis trois ans. Personnels médicaux (médecin, infirmiers, aide-soignants) et administratifs sont à l'écoute en permanence, courtois et agréables.<LF>Les locaux sont propres et la nourriture suffisante.;0;1;1;0
Rapidité-Clarté;0;0;0;1
le négatif n'est pas de votre fait mais à cause de ce que la vie met sur notre chemin : une intervention, une hospitalisation et ensuite la convalescence. Tout cela génère du stress. mais l'établissement ne peut pas encore faire l'impossible...;0;0;1;0
Il est inadmissible de nos jours de faire des fibroscopies pulmonaires sous anesthésie locale. Beaucoup de douleur et de stress qui auraient pu être évités sous anesthésie générale. Aucune gestion de la douleur. Acte de barbarie.;0;0;0;1
Compétence, disponibilité et bienveillance des médecins. Idem pour les infirmiers et infirmières, à l'exception du problème mentionné ci-après.;0;0;1;1
Le personnel;0;0;1;0
les soins prodigués par les infirmiers et aide-soignantes;0;0;0;1
Problème d'organisation. Je suis arrivée le 30 à  15 heures pour un examen le 31 à  14. Une erreur a également été faite dans mes rendez-vous, j'ai été envoyé à  un examen <QT>fantôme<QT> très tôt le 31 au matin alors que personne ne m'attendais. Je suis au final arrivée le lundi après midi pour un examen le mardi à  14 heures. De plus, la lettre indiquait 2 jours d'hospitalisation, le 30 et 31, et j'ai eu au final un examen à  passer le 1er au matin soit 2 nuits à  l'hôpital sans qu'on me prévienne à  l'avance ce qui a posé problème à  mon travail car ce n'était pas prévu. L'hôpital est super mais il y a un soucis de gérance des rendez-vous.;1;0;0;0
Délai de transmission du compte rendu après la consultation, prés d'un mois à ce jour en encore non parvenu.;1;0;0;0
La sortie de l'hôpital, très mal organisée : <LF>Annonce effectuée au dernier moment avec départ précipité de la chambre m'obligeant à attendre en salle d'attente<LF>Aucune information sur les soins post-sortie (combien de temps garder les pansements, combien de temps avant de prendre une douche ...);0;0;1;0
sentiment d'indifference vis a vis de votre situation. la notion d'abandon qui ne signifiait pas l'incompetence. Je suis resté neuf jours avec interdiction de mettre le pied par terre, sans expliquations. J'en suis sorti ouf ! mais marqué et déçu.;0;0;1;0
Le délai pour obtenir un rendez-vous;0;0;1;0
Difficultés administratives probablement dues à  la mise en oeuvre d'un nouveau logiciel au sein de l'hôpital(erreur de saisie de ma date d'admission, SMS pré-opératoires non reçus), explications et ordonnance post-opératoire incomplètes, arrêt de travail non tamponné, un document médical non restitué après l'opération.;1;0;0;0
Facilité d'échange avec le médecin<SEP> satisfaction du suivi par internet<SEP> j'habite en province et me rends rarement à  Paris.Confiance.;0;0;1;0
le passage en caisse beaucoup trop d'attente ...;0;0;0;1
difficulté pour obtenir son traitement habituel bien que l ayant fourni à l anesthésiste   et ayant fourni à l arrivée ds le service  les ordonnances qui ont été photocopiées .;1;0;0;0
Un interne de garde le jour de ma sortie qui n'a pas suivi les instructions dans mon dossier, qui était très désagréable, qui m'a donné les mauvaises ordonnances, rechigniez à  me faire un arràªt de travail sans avoir pris connaissance de ma pathologie et qui m'a donc obligé à  revenir voir mon chirurgien afin d'obtenir les bonnes prescriptions et refaire un arràªt de travail correspondant au repos dont j'ai réellement besoin;0;0;1;1
des infiirmieres a l'écoute et en moyenne une bonne prise en charge.;0;0;0;1
les aide-soignantes sont extrêmement désagréables ainsi que le personnel administratif;0;0;1;0
Des erreurs medicales (mauvaises prescriptions, traitement a recommencer), des infrmiers qui ne savent pas poser un catheter (4 tentatives), l absence de visites de medecins (une visite par semaine).;0;0;0;1
Personnel aimable du service passage et assistance sociale;0;0;1;0
ETABLISSEMENT TRES TRES TRES TRES TRES TRES SALE CE QUI EST INADMISSIBLE POUR UN ETABLISSEMENT DE SANTE;0;1;0;0
salle de bain pour 2 chambres pas propres douches bouchées;0;1;0;0
l'écoute , l'amabilité <SEP>la confiance que tout le personnel avec qui on entre contact procure au patient;0;0;1;0
delais d'attente parfois un peu long en radiologie;1;0;0;0
RIEN DE PLUS QU'A LA DERNIERE CONSULTATION;0;0;0;1
Je me suis rendue dans le service de stomatologie pour la pose d'un implant et je suis satisfaite de cette opération.<LF>Le chef de service en charge de cette prestation était sympathique et compétent ainsi que toute l'équipe soignante.;0;0;0;1
Tout. <LF>Le personnel à l'écoute, respectant l'intimité. Je n'ai rien à dire, tout était parfait;0;0;1;0
Sensation de désordre, personnel semblant <QT>peu concerné<QT> et distrait.;1;0;0;0
le bon accueil doit être réciproque également du côté du malade aussi.;0;0;1;0
Accueil parfait de presque tout le personnel soignant;0;0;1;0
L'amabilité du personnel, soignant et d'accueil.;0;0;1;0
LES EXPLICATIONS ET LE SUIVIT DU TRAITEMENT SUR MA MALADIE;0;0;1;0
le questionnement précis et la prise en compte des symptômes décrits pour rechercher une solution;0;0;0;1
Super séjour une équipe agrable;0;0;1;0
Tout a été très rapide. Cela a été agréable, la dernière fois j'ai du partir après avoir attendu 1 h au secrétariat (15/12/2015)...;1;0;0;0
personnellement rien;0;0;1;1
Je souhaite neanmoins y rtourner le moins souvent posible;0;0;1;0
Le professionnalisme et l'efficacité.;0;0;0;1
Les secrétaires du service sont toujours très aimables et disponibles à notre arrivée le jour des consultations. Médecin à l'écoute.;1;0;1;0
ce médecin a commence la consulta en disant qu’il fallait régler un problème :, reçoit chaque semaine les résultats de labo  trop de papiers reçus !, c'est la fille du patient (med retraitee)qui doit s'en occuper! ce med a remis en question le diagnostic et les traitement du medtraitant  sans donner une solution finale<LF> pas de dialogue possible ce jour Ce med Etait dans l'opposition de tout ce qui se passait pour le patient <LF> dit qu'elle donne  le nom d 'un spécialiste  mais ne s'en souvient plus <SEP>ce médecin appellera le soir pour donner le nom <SEP>pas les coordonnées de ce spécialiste juste son nom a la salpêtrière . au total le patient est ressorti avec les mêmes problèmes sans réponse ni empathie  et le fait sortir rapidement du cabinet médical car trop de patients <LF> a noter , devant les symptômes s'aggravant du patient , celui_ci a de nouveau consulte la remplaçante du mt qui a remis le trait initial  ceci quelques jours après avoir vu ce médecin hospitalier. nous verrons en sept s'il est possible <LF>de changer de médecin hospitalier avec le mt<LF> c'est dommage d'en arriver la car je pense que c'est un bon médecin de façon générale mais ce jour  n’était pas son jour d 'humeur stable <SEP> la qualité de la consultation en a patie;1;0;1;1
C EST BIEN D'AVOIR UN HOPITAL OU ON SE SENT RESPECTE;0;0;1;0
la prise en charge, les soins,;0;0;0;1
Pas beaucoup d'info après l'opération.;0;0;0;1
Il faisait chaud, très chaud. Le personnel fait son devoir, on sent que les conditions ne sont pas simples pour eux mais ils compensent. Bravo.;0;0;1;0
J'ai beaucoup apprécié la réunion d'information pour les gamma knife. C'est indispensable et ça permet de ne plus être aussi stressé. A poursuivre.  <LF>J'ai apprécié la préadmission par mail, très pratique;0;0;1;0
L'accueil de la sage-femme excellent, elle était à l'écoute et rassurante;0;0;1;1
La bienveillance et la qualité des services;0;0;1;1
Amabilité,confiance,;0;0;0;1
Rien de vraiment négatif. Juste un léger manque de communication ...;0;0;1;0
Les repas non adaptés surtout le jour de l'operation<LF>Mon dossier médical ne m'a pas été remis (compte tenu operation. Résultats analyse de sang ).;0;1;0;0
geste chirurgical de garnde qualité, sécurisant;0;0;0;1
d annonce de la planification des examen au cours de l hospitalisation prevue a l avance. delai pour obtenir le rendez vous d hospitalisation4 moispas de e mise au point final sur les resultats des examen avec un des medecins lors d une entrevue avant la sortie;1;0;0;0
Écoute, accueil et disponibilité.<LF>Merci,;0;0;1;0
le service administratif pour les sorties, au rdc est à revoir, trop d'attente.;1;0;0;0
Amabilité du personnel, professionalisme;0;0;1;0
Excellente réactivité ben que fin juillet-début aout. Une bonne écoute et analyse de ma situation, tant en médecine interne (objet de cette évaluation) que lors du passage préalable (sur demande de mon généraliste) en médecine tropicale. Un retour rapide et clair lors des résultats des différentes analyses. Un compte-rendu écrit clair et bien utile, pour soi et la suite... Merci.;0;0;1;1
Sortie expédiée;1;0;0;0
équipe paramédicale chaleureuse;0;0;1;0
L'aide et l'investissement des infirmières.;0;0;1;0
il a été dommage qu'il n'y ait pas eu de miroir dans la salle de bains, cela aurait été utile après l'opération me concernant (dent de sagesse).;0;1;0;0
Bonne écoute du médecin, explications claires, réponses concrètes.;0;0;1;0
Aucune remarque.;0;0;1;0
Excellent accueil, professionnel, aimable, bref, efficace et agréable.;0;0;1;1
Rien à signaler (de négatif). Merci à l'équipe médicale pour le travail effectué.;0;0;0;1
l attention du personnel et des medecins;0;0;1;0
L'accueil consultation qui passe plus de temps à discuter entre eux qu'à s'occuper des patients qui attendent ouà renvoyer vers la marchine à tickets;1;0;1;0
Les RDV par doctolib c'est très bien, maisje pensais avoir fait une mauvaise manipulation lors de la prise de RDV puisque c'est un dossier au nom de mon époux pour une première visite qui m’attendait.Je viens de vérifier sur mon compte j'avais bien pris un RDV pour moi.<LF>Le personnel a de suite été cherché mon dossier est tout est rentré dans l'ordre mais je m'interroge si je vais repasser par doctolib la prochaine fois.;1;0;0;0
Le planning de prise de RDV affiché dans la salle d'attente n'est pas à jour. Il est source d'erreurs.<LF>J'ai la CMU. Normalement, je n'aurais pas dû faire la queue. Dans d'autres hôpitaux, il nous donne une dispense de passage en caisse.;1;0;0;0
une prise en charge pour le moins inquiétante puisqu'il a fallu attendre plusieurs mois , et c'est hélas le cas pour toute le secteur médical .;1;0;0;0
temps d attente pour regler vraiment long. de plus, on perd du temps a chercher le service ou il faut regler. Peut on envisager de payer directement dans le service ou l on a consulte, ou de payer en ligne?;1;1;0;0
les explications des médecins, leur compréhension ainsi que la gentillesse et la professionnalité des infirmières;0;0;1;0
Infirmiers et aides soignants incroyablement gentils et à  l'écoute ! Merci !;0;0;1;0
personnels très compétents à l'écoutent des patients;0;0;0;1
EN UNE SEMAINE PAS VUE MON CHIRURGIEN DR.S.A EN CHIRURGIE ORTHOPÉDIE ET NE LE VERRAIT PAS A MON RDV POST OPÉRATOIRE DU 7/08/2018 PUISQUE RDV AVEC UN INTERNE  DESOLANT DU COUP JE SAIS PAS SI JE VIENDRAIS;1;0;1;1
La complexité du parcours. heureusement que les infirmières sont très gentilles et vous accompagnent ou vous indiquent clairement où vous devez aller aussi non on se perd franchement.;0;1;1;0
Que l'on est très bien accueilli et que l'on est très bien suivi.;0;0;1;0
le personnel des bureau sont humains;0;0;1;0
Des médecins très compétant;0;0;0;1
Amabilité du personnel;0;0;1;0
Les anesthesistes ont été très efficaces et m'ont bien aidé moralement.<LF>L'expérience du chirurgien. J'espère que tout rentrera dans l'ordre au point de vue santé.<LF>La tranquilité des chambres, quoique j'aurais aimé qu'une garde de nuit entr'ouvre ma porte pr savoir si j'allais bien. Une nuit j'ai beaucoup souffert mais je n'ai dérangé personne!;0;1;1;1
les toilettes, rdc derrière les urgences - très sale, trop petites, très vétustes,;0;1;0;0
Equipe très aimable;0;0;1;0
Je dois retourner à un rendez-vous car l'empreinte dentaire réalisée la première fois à ete ratée.;0;0;0;1
Bonne prise en charge, par l'équipe médicale au bloc, qui sait nous mettre à l'aise.<LF>Ainsi que les infirmières une fois en chambre.;0;0;1;1
soins excellents;0;0;0;1
Comme vous êtes presque parfait, je n'ai aucune réclamation !;0;0;0;1
J'ai eu la grande surprise de découvrir, dans le service <QT>secteur jaune, bà¢t. Joliot, Porte 4, au 1er étage<QT>, dans lequel je devais prendre rdv pour des examens supplémentaires, deux femmes voilées appartenant à  ce service ! Je pense qu'en secteur public, la religion de ces femmes ne nous concerne pas, et que leur tenue doit être neutre. La France est un pays laà¯c.;1;0;0;0
équipes formidables et très professionnelles: médecins/infirmières/personnel;0;0;1;1
Disponibilité du personnel;0;0;1;0
les siège dans la salle d'attente!<LF>et l'information dans l'attente qui a duré trop longtemps;0;1;0;0
la compétence des médecins et la gentillesse des infirmières;0;0;1;1
le délai d'attente en caisse et probablement une erreur sur le tarif pratiqué, a priori...;1;0;0;0
régime alimentaire  non adapté problèmes de constipation;0;1;0;0
la qualité de l'intervention et de son suivi;0;0;0;1
Médecin très à l'écoute, qui montre beaucoup de compassion, transparente sur les traitements à suivre, très compétente;0;0;1;1
j'ai toujours et dans tous les services où je suis passée était trés agréablement surprise par le sourire et la gentillesse de tout le monde;0;0;1;0
Mon dossier médical était perdu. Après des recherches chez mes différents médecins et hospitalisation de jour, je suis partie sans consultation réelle.<LF>De plus, sur le seul document visible sur informatique, les informations transmises étaient, à mon sens, erronées.<LF>Prochain rendez-vous convenu dans 3 mois !!<LF>Pourquoi n'ai je pas reçu les copies des courriers et compte rendus ? J'en fais toujours la demande et j'aurai ainsi pu constater les <QT>erreurs indiquées<QT>.<LF>Merci de tenir compte de cet avis pour l'avenir en souhaitant que mon dossier soit retrouvé après plus de 3 mois d'hospitalisation de jour ou de consultation auprès d'autres médecins du service.<LF>Salutations;1;0;1;0
L'accueil désagréable de la personne accueil radio<LF>Premier bureau avec RDV<LF>Vraiment méprisant;0;0;1;0
Très bonne écoute et disponibilité de la part du personnel soignant.;0;0;1;0
Accueil et attention du personnel (aide-soignants, infirmières, médecins)<LF>Explication de tous gestes médicaux et de l'état de santé;0;0;1;0
Unique point négatif : de très mauvaises transmissions entre le service des rendez-vous (très aimable cependant) et la mise en relation avec le service concerné. Celui-ci répond rarement et coupe...Mais nul n'est parfait !;1;0;1;0
médecins géniaux- personnel sympa et accueillant - mise en place de système anti-fugue - facilité d'accès et de stationnement pour les familles -;0;1;1;0
IL  est de plus en plus difficile de se faire soigné correctement;0;0;0;1
Hôpital public de France tres satisfaisant<SEP> nous savons que nos impots sont utiles. tout le personnel est à la hauteur de leur travail. Encore merci.;0;0;0;1
le professionnalisme;0;0;0;1
Ne pouvant as marcher, n'ayant pas encore de fauteuil,avec des douleurs du dos infernales, l'accès aux examens et à la consultation sont de grandes souffrances. Pas encore de diagnostic par un médecin fuyant.;0;0;0;1
rien..... si la gene du medecin devant un tel manque de professionalisme des medecins de la radio;0;0;0;1
Satisfaisant;0;0;0;1
les longues attentes avant de voir le médecin;1;0;0;0
L'écoute de l'ensemble du personnel hospitalier .;0;0;0;1
La gentillesse, l'attention et la compétence de tout le service: chirurgien, internes, infirmière, aides soignantes, cadres, personnel.<LF>Avoir une chambre seule;0;0;1;1
accueil medical;0;0;1;0
Médecin très pro;0;0;0;1
L'accompagnement du personnel;0;0;1;0
Un grand merci à l'équipe du jeudi 3 mai des urgences jusqu'à la salle d accouchement.une équipe professionnelle et a l'écoute;0;0;0;1
Durée des soins et succession d'examens;0;0;0;1
personnel hospitalier très gentil et à l'écoute;0;0;1;0
rdv pour une deuxième consultation PROGRAMM2 pour la semaine suivante , après avoir passé une IRM.... <LF>Or tous les centres IRM contactés, y compris celui de l'hopital St Antoine, ne pouvaient pas me prendre avant 2 ou 3 semaines !<LF>il a fallu annuler cette deuxième consulttion et trouver une autre date.;1;0;0;0
LES propos du médecin concernant ma pathologie;0;0;1;0
la qualité des soins;0;0;0;1
manque de disponibilité des médecins qui doit refléter un certain sous-effectifs : très compétents et clairs lorsqu'on les voit cependant, il se passe parfois 48h sans voir un médecin (pas toujours eu de visite quotidienne)<LF>Des processus administratifs mal faits/défaillants : il m'a fallu 2heures pour faire les formalités le jour de ma sortie (dossier perdu puis documents manquants, puis mauvaise orientation entre les différents bureaux pour la sortie);1;0;1;0
ce que je retiens de négatif c'est les faibles moyens mise a disposition pour le personnel de l'hospital fournir un excellent travail mais je le trouve épuisé.Personnellement je trouve que c'est une honte pour le gouvernement et le service public d'offrir des moyens limités au personnel soignant.;0;0;1;0
il faisait très froid dans la chambre + je n'ai eu aucune information sur la suite après les examens que j'ai eus pendant mon hospitalisation.;0;1;1;0
Tout est parfait;0;0;0;1
Travail de professionnel;0;0;0;1
L'état des bà¢timents, les box de stomatologie alignés à  la chaà®ne avec le libre passage des gens devant les patients en consultation, manque d'intimité des unités de consultation.;0;1;0;1
médecin très à l'écoute;0;0;1;0
qualité technique de l'environnement, du traitement et des soins correspondants, attention du personnel soignant;0;0;1;1
les plateaux repas.... ce n'était vraiment pas bon!;0;1;0;0
On ne m'a prévenu que l'examen <QT>triple stimulation<QT> serait aussi douloureux.;0;0;0;1
l'accueil du personnel et sa gentillesse à l'arrivée et ma consultation avec le médecin;0;0;1;0
Médecin ok;0;0;0;1
rapidité d'intervention du personnel à l'appel.;0;0;1;0
Enfin un nom de maladie a été donné par le médecin sur le mal que j'ai depuis plus de dix ans;0;0;0;1
COUVERTURE USE;0;1;0;0
m très à l'écoute de mes problèmes,a bien su me rassurer;0;0;0;1
le prix de l`intervention;0;1;0;0
prise en charge , écoute en neurochirurgie et réanimation, du corps médical envers le patient;0;0;1;1
depuis le temps que prof. chef de serv. urologie me reçoit nous nous connaisons<LF>et cela se passe t.bien, problême de prostate donc ce n'est si pas gravissime,<LF>depuis 15 ans et je suis toujours vivant,alors ça roule ma poule........;0;0;0;1
Tout.pas de reproches;0;0;1;0
Pas d'attente entre mon arrivée dans le service et celle dans le cabinet du médecin,  médecin très ouvert et à l'écoute,  échange positif et fort agreable;0;0;1;0
l'amabilité du personnel hospitalier;0;0;1;0
Excellent accueil et professionnalisme du personnel hospitalier;0;0;1;1
Pour la 1ère fois je suis passé presque à l'heure. Il est vrai que s'était à 8h 15;0;0;0;1
le fait de devoir attendre après la consultation pour prendre un nouveau RV. Mais l'attente n'est pas si longue, et le personnel aimable.;1;0;1;0
l'aspect très professionnel et humain du Médecin;0;0;1;1
bruit à cause de patients;0;1;0;0
personnel du secrétariat peu sympathique;0;0;1;0
personnel très compétent ,attentif;0;0;0;1
que toutes les possibilités de guérison m'ont été proposé depuis bientôt 3 ans mais que c'est un échec.;0;0;0;1
l'accueil par le médecin;0;0;0;1
réalisation de soins délicats;0;0;0;1
service toujours aimable, tres bon service de neurologie;0;0;1;0
Cancer du poumon, ils m'ont sauvé la vie.;0;0;0;1
bonne aceille en chirurgie courte durée et la gentillesse du personnel toute catégorie  confondues;0;0;1;0
Bonjour,<LF>Tout le monde compétent et surtout très agréable, très bonnes explications et possibilités bien exprimées. Je suis très satisfaite.;0;0;1;0
La nourriture peut encore s'améliorer;0;1;0;0
RAS sauf pour le stationnement (pas assez de place);0;1;0;0
Beaucoup trop bruyant de jour comme de nuit par des gens (patients et personnel) qui s'interpellent dans les couloirs, TV trop forte. Radiateur impossible à regler (soit sauna soit froid). Matelas lit de mauvaise qualité.;0;1;0;0
trop d'intelocuteurs: avis différents voire contradictoires.  Pas d'avis/réponses aux questions médiclaes me concernant dans certains cas.<LF>Surtout: les informations ne viennent pas toutes seuls ils faut trop insister/réitérer;0;0;1;0
quelques difficultés de communication;0;0;1;0
Séjour convenable avec un personnel trop gentil.;0;0;1;0
la gentillesse du personnelle soignant ainsi que leurs écoute et leurs professionnalisme;0;0;1;1
RIEN.;0;0;0;1
le point négatif est la lenteur de la progression;1;0;0;0
L'attente est très longue;0;0;0;1
chambre un peu vieille;0;1;0;0
bonne pris en charge de soins;0;0;0;1
les médecins et infirmières qui se sont occupés de moi sont très à l'écoute , attentifs aux préoccupations et répondent à toutes les questions. Dans mon cas ils ont été très rassurant.;0;0;1;0
Le temps d'attente de presque deux heures après l'heure du rendez-vous. La vétusté de la salle d'attente et de la propreté limite, quant aux toilettes c'est afreux il faut changer de service pour trouver des toilettes avec du savon et du papier toilette.   Mais bon, les patients ont aussi leur rôle à  jouer, l faudrait aussi responsabiliser les patients.;0;1;0;0
le non suivi de ma grossesse en fonction de mon état. la sage femme m'a enfin donné l'ordonnance pour le suivi de la toxoplasmose au bout de 6 mois de grossesse en me reprochant de ne pas l'avoir!;0;0;0;1
Opération prévue réalisée. Nouvelle consultation prévue le 5 septembre avec mon chirurgien;1;0;0;1
Bon suivi des informations entre les différents services, médecins concernés, disponibles, bonne prise en charge des transports intra-hôpital, amabilité des différents intervenants.;0;0;1;1
très mauvais accueil de la secrétaire du médecin <LF>attente trop longue pour récupérer le bon de sortie, surtout pour des personnes en convalescence, personnel administratif indolant & manquant de compassion;1;0;1;0
le changement de praticien,relatif puisque durée de traitement 2012 à  2016;0;0;0;1
Couloir servant de salle d'attente pour plusieurs consultations à la fois.Quand le médecin appelle son client il doit le répéter plusieurs fois et perte de temps.<LF>Il serait bien pour aider à patienter de connaître le nombre de patients devant soi.;1;1;0;0
une écoute à mes besoins spécifiques;0;0;1;0
Le manque de choix dans la diversité des menus pour les longs sejours;0;1;0;0
Il faut trouver une solution pour ces repas!!! On ne mange pas donc cela crée un gachis monstre!!!;0;1;0;0
Accueil de très bonne qualité. Soins parfaits. Établissement à recommander. Très sécurisant. Excellent accompagnement par les sage-femmes et l'infirmière durant l'accouchement, aussi bien sur le plan médical que psychologique.;0;0;1;1
